FRANCHISE,SEASON,,YEAR,WINNER/S,,RUNNER UP/S,,MISS CONGENIALITY,,SPECIAL AWARDS
,Season 1,,2018,Natalia Pilacam,,Annee Maywong & Dearis Doll,,B Ella,,
,Season 2,,2019,Angele Anang,,Kana Warrior & Kansy Zyanide,,Maya B'Haro,,Drag Pop Star                                                                                       Kandy Zyanide
,Season 3,,2024,Frankie Wonga,,Zepee,,Benze Diva,,
,,,,,,,,,,
,Season 1,,2019,The Vivienne,,Divina De Campo,,Blu Hydrangea,,
,Season 2,,2021,Lawrence Chaney,,Bimini Bon Boulash & Tayce,,Bimini Bon Boulash,,
,Season 3,,2021,Krystal Versace,,Ella Vaday & Kitty Scott Claus,,Anubis,,
,Season 4,,2022,Danny Beard,,Cheddar Gorgeous,,Baby,,
,Season 5,,2023,Ginger Johnson,,Michael Marouli,,Miss Naomi Carter,,
,Season 6,,2024,Kyran Thrax ,,La Voix,,Charra Tea,,
,Season 7,,2025,Bones,,Elle Vosque,,Chai T Grande,,
,,,,,,,,,,
,Season 1,,2020,Priyanka,,Rita Baga & Scarlett Bobo,,Tynomi Banks,,
,Season 2,,2021,Icesis Couture,,Kendall Gender & Phythia,,Suki Doll,,
,Season 3,,2022,Gisele Lullaby,,Jada Shada Hudson,,Vivian Vanderpuss,,
,Season 4,,2023,Venus,,Aurora Matrix,,Kitten Kaboodle,,
,Season 5,,2024,The Virgo Queen,,Makayla Couture,,Jaylene Tyme,,
,Season 6,,2025,Van Goth,,Eboni La'Belle,,Hazel,,Fan Favourite                                                                                    Sami Landri
,,,,,,,,,,
,Season 1,,2021,Carmen Farala,,Killer Queen & Sagittaria,,Pupi Poisson,,
,Season 2,,2022,Sharonne,,Estrella Xrtavaganza & Venedita Von Däsh,,Samantha Ballentines,,Miss Lost Look                                                                        Marisa Prisa
,Season 3,,2023,Pitita,,Vania Vainilla,,María Edília,,Miss Lost Look                                                                                           Visa
,Season 4,,2024,Le Cocó,,"La Bella Vampi 
(AKA Vampirashian)",,Dita Dubois,,Miss Lost Look  & Miss Make-up                                                                                         Porca Theclubkid & La Niña Delantro
,Season 5,,2025,Satín Greco,,Margarita Kalifata,,Nori,,Miss Lost Look  & Miss Make-up                                                                                         Ferrxn & Alexandra del Raval
,,,,,,,,,,
,Season 1,,2020,Envy Peru,,Janey Jacké,,Ma'Ma Queen,,
,Season 2,,2021,Vanessa Van Cartier,,My Little Puny,,Tabitha,,
,,,,,,,,,,
,Season 1,,2021,Kita Mean,,"Art Simon, Karen From Finance, & Scarlet Adams",,Anita Wig'Lit,,
,Season 2,,2022,Spankie Jackzon,,Hannah Conda & Kween Kong,,,,
,Season 3,,2023,Isis Avis Loren,,Gabriella Labucci,,Ivory Glaze,,
,Season 4,,2024,Lazy Susan,,Mandy Moobs & Vybe,,,,
,,,,,,,,,,
,Season 1,,2021,Elecktra Bionic,,Farida Kant & Le Riche,,Luquisha Lubamba,,
,Season 2,,2022,La Diamond,,Aura Eternal & Nehellenia,,Nehellenia,,
,Season 3,,2023,Lina Galore,,Melissa Bianchini,,Silvana della Magliana,,Fan Favorite                                                                        Morgana Cosmica
,,,,,,,,,,
,Season 1,,2022,Blu Hydrangea,,Mo Heart,,Jujubee,,
,Season 2,,2024,Tia Kofi,,Hannah Conda,,Arantxa Castilla La Mancha,,
,Season 3,,2026,Gawdland,,Kate Butch,,Serena Morena,,
,,,,,,,,,,
,Season 1,,2022,Precious Paula Nicole,,Marina Summers,,Lady Morgana,,
,Season 2,,2023,Captivating Katkat,,Arizona Brandy,,Hana Beshie,,
,Season 3,,2024,Maxie,,Khianna,,Versex,,
,,,,,,,,,,
,Season 1,,2022,Paloma,,La Grand Dame & Soa De Muse,,Elips,,
,Season 2,,2023,Keiona,,Sara Forever,,Moon,,
,Season 3,,2024,Le Filip,,Ruby On The Nail,,Norma Bell,,
,Season 4,,2026,TBA,,TBA,,TBA,,
,,,,,,,,,,
,Season 1,,2022,Ra'Jah O'Hara,,Silky Nutmeg Ganache,,Anita Wig'Lit,,
,Season 2,,2024,Lemon,,Alexis Mateo,,Eureka!,,
,,,,,,,,,,
,Season 1,,2023,Drag Couenne,,Athena Sorgelikis,,Mocca Bone,,
,Season 2,,2024,Alvilda,,La Veuve,,Star,,
,,,,,,,,,,
,Season 1,,2023,Admira Thunderpussy,,Fontana,,,,
,,,,,,,,,,
,Season 1,,2023,Cristian Peralta,,"Gala Varo, Matraka, & Regina Voce",,Lady Kero,,Fan Favorite                                                                        Matraka
,Season 2,,2024,Leexa Fox,,"Eva Blunt, Horacio Potasio, & Jenary Bloom",,Luna Lansman & Nina de la Fuenta,,Miss Lost Look                                                                        Garçonne
,,,,,,,,,,
,Season 1,,2023,Pandora Nox,,Metamorkid & Yvonne Nightstand,,Victoria Shakespears,,Fav Favorite                                                                                 LéLé Cocoon
,,,,,,,,,,
,Season 1,,2023,Organzza,,"Betina Polaroid, Hellena Malditta, & Miranda Labrão",,Aquarela,,
,Season 2,,2025,Ruby Nox,,Mellody Queen,,,,
,,,,,,,,,,
,Season 1,,2024,Drag Sethlas,,Samantha Ballentines,,Samantha Ballentines,,Miss Lost Look                                                                                 Onyx Unleashed
,,,,,,,,,,
,Season 1,,2024,Alyssa Edwards,,"Kitty Scott-Claus, Kween Kong, & Nehellenia",,Soa de Muse,,Global Lipsync Assassin                                                                                 Soa de Muse
,,,,,,,,,,
,Season 1,,2025,Mami Watta,,Elips,,Kam Hugh,,
,,,,,,,,,,
,Season 1,,2025,Brigiding ,,Viñas Deluxe,,Suki Doll,,
,,,,,,,,,,
,Season 1,,2026,TBA,,TBA,,TBA,,TBA
,,,,,,,,,,
,Season 1,,2026,TBA,,TBA,,TBA,,TBA
,,,,,,,,,,
,Season 1,,2026,TBA,,TBA,,TBA,,TBA
